2,Text,Translation,Translation
1000590,Game Progress,Прагрэс гульні,Postęp gry
1000831,Action '<EndAction>' & Moment '<EndMoment>',Action '<EndAction>' & Moment '<EndMoment>',Działanie „<EndAction>” i chwila „<EndMoment>”
1000832,"<Color><name> <idx><opt(u(entity), ' - <color 32 192 32>')> <AnnotatedAutoattachMsg>","<Color><name> <idx><opt(u(entity), ' - <color 32 192 32>')> <AnnotatedAutoattachMsg>","<Color><name> <idx><opt(u(entity), ' - <color 32 192 32>')> <AnnotatedAutoattachMsg>"
1000781,"<class><opt(u(RequiredClassesFormatted),' ','')>","<class><opt(u(RequiredClassesFormatted),' ','')>","<class><opt(u(RequiredClassesFormatted),' ','')>"
1000105,"<id> <color 0 128 0><ValueText><color 128 128 128><opt(u(save_in), ' - ', '')>","<id> <color 0 128 0><ValueText><color 128 128 128><opt(u(save_in), ' - ', '')>","<id> <color 0 128 0><ValueText><color 128 128 128><opt(u(save_in), ' - ', '')>"
12322,<textcolor><text></color>,<textcolor><text></color>,<textcolor><text></color>
1000001,Enter Mod Title,Увядзіце назву мода,Wprowadź nazwę moda
1000002,No name provided,Няма імені,Nie podano nazwy
1000591,Error,Памылка,Błąd
1000003,Copying <ModLabel> to <u(path)>,Капіяваць <ModLabel> у <u(path)>,Kopiowanie <ModLabel> do <u(path)>
1000004,Confirm Copy,Пацьвярдзіць капіяваньне,Potwierdź kopiowanie
1000005,Mod '<u(title)>' files will be copied to <u(path)>,Тэчкі мода '<u(title)>' буду скапіяваны ў <u(path)>,Pliki moda „<u(title)>” zostaną skopiowane do <u(path)>
1000747,Error creating folder <u(folder)>: <u(err)>,Памілка стварэньня папцы <u(folder)>: <u(err)>,Błąd przy próbie utworzenia folderu <u(folder)>: <u(err)>
1000748,Error copying <u(file)>: <u(err)>,Памылка капіяваньня <u(file)>: <u(err)>,Błąd kopiowania pliku <u(file)>: <u(err)>
1000749,Error looking up files of <ModLabel>: <u(err)>,Памылка пошуку тэчак <ModLabel>: <u(err)>,Błąd wyszukiwania plików <ModLabel>: <u(err)>
1000750,Error looking up folders of <ModLabel>: <u(err)>,Памылка пошуку папак <ModLabel>: <u(err)>,Błąd wyszukiwania folderów <ModLabel>: <u(err)>
1000745,Error copying <ModLabel>: <err>,Памылка капіяваньня <ModLabel>: <err>,Błąd kopiowania <ModLabel>: <err>
1000783,This mod is downloaded from Steam and cannot be deleted - go in your Steam client and unsubscribe it from there.,Гэты мод спампаваны з Steam і ня можа быць выдалены - зайдзіце ў свой кліент Steam і адпішыцеся адтуль.,Ten mod został pobrany ze Steam i nie można go usunąć - przejdź do swojego klienta Steam i anuluj subskrypcję.
1000007,Are you sure?,Вы упэўнены?,Potwierdź usunięcie
1000008,Do you want to delete all <ModLabel> files?,Вы хочаце выдаліць усе тэчкі моду <ModLabel>?,Czy chcesz usunąć wszystkie pliki moda <ModLabel>?
1000010,Please confirm the deletion of item '<u(name)>'!,Калі ласка пацьвярдзіце выдаленьне '<u(name)>'!,Proszę potwierdzić usunięcie obiektu „<u(name)>”.
1000753,Failed creating content package file (<err>),Не атрымалася стварыць тэчку пакету кантэнту (<err>),Tworzenie pakietu zawartości nieudane file (<err>)
1000593,Error,Памылка,Błąd
1000013,Mod <ModLabel> was not uploaded! Error: <err>,Мод <ModLabel> ня быў запампаваны! Памылка: <err>,Mod <ModLabel> nie został wysłany! Błąd: <err>
1000014,Mod <ModLabel> was successfully uploaded!,Мод <ModLabel> быў пасьпяхова запампаваны!,Mod <ModLabel> został wysłany!
1000011,There is an active mod upload,Брак мод на запампоўку,Wykryto aktywne przesyłanie danych modu.
1000592,Error,Памылка,Błąd
1000784,You need to write something into 'Last Changes' before uploading a mod.,Увядзіце што-небудзь у 'Апошнія зьмены' паперад запампоўкай.,Przed przesłaniem moda musisz coś wpisać w polu „Ostatnie zmiany”.
1000012,Mod <ModLabel> will be uploaded to Steam,Мод <ModLabel> будзе запампаваны ў Steam,Mod <ModLabel> zostanie wysłany na platformę Steam
1000771,Mod <ModLabel> will be uploaded to Paradox,Мод <ModLabel> будзе запампаваны ў Paradox,Mod <ModLabel> zostanie wysłany na witrynę Paradox.
1000009,Confirmation,пацьвярджэньне,Potwierdzenie
1000785,Mod <ModLabel> will be unpublished from Paradox.,Мод <ModLabel> быў выделаны з публікацыі ў Paradox.,Mod <ModLabel> zostanie usunięty z witryny Paradox.
1000019,Preview image,Предаглядны здымак,Obraz podglądu
1000754,Last changes,Апошнія зьмены,Ostatnie zmiany
1000834,Ignore files,Ігнараваныя тэчкі,Ignoruj pliki
12353,Dependencies,Залежнасьці,Zależności
1000021,Steam ID,Steam ID,Steam Id
1000772,Paradox Desktop UUID,Paradox Desktop UUID,UUID Paradox (PC)
1000773,Paradox All UUID,Paradox All UUID,UUID Paradox (wszystkie)
12356,Revision,Рэвізія,Aktualizacja
1000024,Required game version,Патрэбная вэрсія гульні,Wymagana wersja gry
12144,Saved with game version,Захавана з версіяй гульні,Zapisano w wersji gry
1000774,Screenshot,Здымак экрану,Zrzut ekranu
12357,"<u(title)> (loaded)
id <u(id)>, version <VersionText>","<u(title)> (loaded)
ід. <u(id)>, версыя <VersionText>",
12358,"<color 128 128 128><u(title)>
id <u(id)>, version <VersionText></color>","<color 128 128 128><u(title)>
ід <u(id)>, версыя <VersionText></color>",
1000869,Failed to load mod items from <ModLabel>. Error: <u(err)>,Не атрымалася загрузіць элементы моду з <ModLabel>. Памылка: <u(err)>,Nie udało się wczytać elementów moda z <ModLabel>. Błąd: <u(err)>
12359,"<u(title)> (id <u(id)>, version <VersionText>)","<u(title)> (ід <u(id)>, версыя <VersionText>)","<u(title)> (id <u(id)>, wersja <VersionText>)"
1000029,Savegame Mod <ModLabel> is present but not loaded,"Мода захаваньня <ModLabel> існуе, але не быў загружаны","Modyfikacja zapisu gry <ModLabel> obecna, ale niewczytana"
1000030,Savegame Mod <ModLabel> is loaded with a different version <version>,Мода захаваньня <ModLabel> загружаны для другой вэрсыі <version>,Modyfikacja zapisu gry <ModLabel> wczytana z inną wersją <version>
1000031,Savegame Mod <ModLabel>,Мода захаваньня <ModLabel>,Modyfikacja zapisu gry <ModLabel>
1000032,Savegame references Mod <ModLabel> which is not present,Захаваньне спасылаецца на мод <ModLabel> які не існуе,"Zapis gry odnosi się do moda <ModLabel>, który nie jest obecny"
12453,Loading mod metadata...,Загрузка мэтададзеных мода...,Wczytywanie metadanych moda...
1000033,Outdated definition for <ModLabel> loaded from <path>. (Unsupported game version),Outdated definition for <ModLabel> loaded from <path>. (Unsupported game version),Wczytano nieaktualną definicję modu <ModLabel> ze ścieżki <path>. (Nieobsługiwana wersja gry)
1000034,Mod <ModLabel> ignored because a newer version is already loaded,"Мод <ModLabel> ігнараваны з-за таго, што новая вэрсыя ўжо загружана","Mod <ModLabel> został pominięty, ponieważ jego nowsza wersja została już wczytana"
1000035,Mod <ModLabel> will replace an older version of the same mod,Mod <ModLabel> will replace an older version of the same mod,<ModLabel> zastępuje starszą wersję tego moda
1000870,Failed to load mod metadata from <u(path)>. Error: <u(err)>,Failed to load mod metadata from <u(path)>. Error: <u(err)>,Nie udało się wczytać metadanych moda z <u(path)>. Błąd: <u(err)>
